run_id,backbone,feature_source,fusion_method,seed,feature_dim,class_weighting,optimizer,learning_rate,weight_decay,dropout,hidden_dims,experiment_name,run_tag,best_val_macro_f1,best_val_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
20260526_190502_frozen_effb0_none_mlp_cw_sgd_d03_s42,efficientnet_b0,frozen,none,42,1280,True,sgd,0.01,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_sgd_d03,0.536228432753101,19,0.6924101198402131,0.5288232313391141,0.6182402883508604,0.5604520802695372,0.7184801881180386
20260526_190006_frozen_r50_none_mlp_nocw_adamw_d03_s42,resnet50,frozen,none,42,2048,False,adamw,0.001,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,nocw_adamw_d03,0.5713269518543554,11,0.748335552596538,0.547296758281665,0.5464077758079332,0.5426044741377948,0.7455234808563161
20260526_190307_frozen_effb0_none_mlp_cw_adamw_d05_s42,efficientnet_b0,frozen,none,42,1280,True,adamw,0.001,0.0001,0.5,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adamw_d05,0.5312137967043905,11,0.6977363515312917,0.48953949312714545,0.6393102740470938,0.5413398689543933,0.7207958604771237
20260526_190401_frozen_effb0_none_mlp_cw_adam_d03_s42,efficientnet_b0,frozen,none,42,1280,True,adam,0.001,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adam_d03,0.5297718927284937,10,0.6930758988015979,0.4916499796316823,0.6480181140999763,0.5393409945669433,0.7199079167487308
20260526_190047_frozen_effb0_none_mlp_nocw_adamw_d03_s42,efficientnet_b0,frozen,none,42,1280,False,adamw,0.001,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,nocw_adamw_d03,0.5733114720565021,8,0.7623169107856191,0.5690401857185198,0.5185763873074343,0.5361307254420566,0.749243698563916
20260526_185846_frozen_r50_none_mlp_cw_adamw_d03_s42,resnet50,frozen,none,42,2048,True,adamw,0.001,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adamw_d03,0.5310464246976891,14,0.7123834886817576,0.4906534192788091,0.5907232413175603,0.5310806526417284,0.7303668817556075
20260526_190109_frozen_r50_none_mlp_cw_adamw_d01_s42,resnet50,frozen,none,42,2048,True,adamw,0.001,0.0001,0.1,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adamw_d01,0.5444316084754725,9,0.7250332889480693,0.5099491547863636,0.5617069150192887,0.5283934532953775,0.7334487524313666
20260526_190148_frozen_effb0_none_mlp_cw_adamw_d01_s42,efficientnet_b0,frozen,none,42,1280,True,adamw,0.001,0.0001,0.1,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adamw_d01,0.552274189355693,13,0.7336884154460719,0.5086479038452554,0.5513562763089698,0.5263480216068921,0.7425142625772708
20260526_185941_frozen_effb0_none_mlp_cw_adamw_d03_s42,efficientnet_b0,frozen,none,42,1280,True,adamw,0.001,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adamw_d03,0.5568179908284524,14,0.6970705725699068,0.49991526229419836,0.5515311311737385,0.5064534766172956,0.7197134166514568
20260526_190423_frozen_r50_none_mlp_cw_sgd_d03_s42,resnet50,frozen,none,42,2048,True,sgd,0.01,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_sgd_d03,0.5178046347457588,15,0.6770972037283621,0.46087638287383426,0.594585825813572,0.5054512149606945,0.7064705356610081
20260526_190320_frozen_r50_none_mlp_cw_adam_d03_s42,resnet50,frozen,none,42,2048,True,adam,0.001,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adam_d03,0.5107139128782318,6,0.6684420772303595,0.4715152217137463,0.5600729329256227,0.4983270646102097,0.6989089519369606
20260526_190226_frozen_r50_none_mlp_cw_adamw_d05_s42,resnet50,frozen,none,42,2048,True,adamw,0.001,0.0001,0.5,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adamw_d05,0.5180112546563859,20,0.6917443408788282,0.4486502046133309,0.5901718260272885,0.49658769316423734,0.7147044393580796
20260526_185917_frozen_mnv2_none_mlp_cw_adamw_d03_s42,mobilenet_v2,frozen,none,42,1280,True,adamw,0.001,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adamw_d03,0.47636992657222876,19,0.6677762982689747,0.4537491109183387,0.5034150771135554,0.46752625210354765,0.6918025427372162
20260526_190031_frozen_mnv2_none_mlp_nocw_adamw_d03_s42,mobilenet_v2,frozen,none,42,1280,False,adamw,0.001,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,nocw_adamw_d03,0.5094037814373538,14,0.7363515312916112,0.5082268360723592,0.43714652818911937,0.46503802233875013,0.7222297577822745
20260526_190125_frozen_mnv2_none_mlp_cw_adamw_d01_s42,mobilenet_v2,frozen,none,42,1280,True,adamw,0.001,0.0001,0.1,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adamw_d01,0.4632862077569905,7,0.6544607190412783,0.4311016353967636,0.508624077624393,0.45122516286479425,0.6813958057386694
20260526_190251_frozen_mnv2_none_mlp_cw_adamw_d05_s42,mobilenet_v2,frozen,none,42,1280,True,adamw,0.001,0.0001,0.5,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adamw_d05,0.46761752572043813,14,0.6085219707057257,0.4122960668195849,0.5365977083210944,0.44474582408922053,0.6506539621520931
20260526_190341_frozen_mnv2_none_mlp_cw_adam_d03_s42,mobilenet_v2,frozen,none,42,1280,True,adam,0.001,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_adam_d03,0.48520628379469644,17,0.6884154460719041,0.41965370842330507,0.4716259932911345,0.4403709200348137,0.7063901495110682
20260526_190445_frozen_mnv2_none_mlp_cw_sgd_d03_s42,mobilenet_v2,frozen,none,42,1280,True,sgd,0.01,0.0001,0.3,"[512, 256]",frozen_single_backbone_mlp_hparam_v1,cw_sgd_d03,0.4532697018195676,20,0.6218375499334221,0.3930812335786867,0.5082531821314062,0.42946839746766236,0.6573452594055826
